"","Survived","Pclass","Sex","SibSp","Parch","Embarked","Child","Title","FamilySize","Age","Fare"
"29","1","3","female",0,0,"Q",0,"Miss",1,0.372180103561368,0.0153791741716068
"30","0","3","male",0,0,"S",0,"Mr",1,0.372180103561368,0.0154115752137493
"31","0","1","male",0,0,"C",0,"Sir",1,0.498935237379431,0.0541073981338561
"32","1","1","female",1,0,"C",0,"Mrs",2,0.372180103561368,0.28598955515321
"33","1","3","female",0,0,"Q",0,"Miss",1,0.372180103561368,0.0151269925664983
"34","0","2","male",0,0,"S",0,"Mr",1,0.824627333082801,0.0204946350900944
"35","0","1","male",1,0,"C",0,"Mr",2,0.348615808593261,0.16038672010106
"36","0","1","male",1,0,"S",0,"Mr",2,0.52398847551046,0.101497240446182
"37","1","3","male",0,0,"C",0,"Mr",1,0.372180103561368,0.0141104586660296
"38","0","3","male",0,0,"S",0,"Mr",1,0.260929475134661,0.0157125535690724
"39","0","3","female",2,0,"S",0,"Miss",3,0.223349617938118,0.0351336601544476
"40","1","3","female",1,0,"C",1,"Miss",2,0.173243141676062,0.0219423370754585
"41","0","3","female",1,0,"S",0,"Mrs",2,0.498935237379431,0.0184939683312995
"42","0","2","female",1,0,"S",0,"Mrs",2,0.336089189527746,0.0409892701801888
"43","0","3","male",0,0,"C",0,"Mr",1,0.372180103561368,0.0154115752137493
"44","1","2","female",1,2,"C",1,"Miss",4,0.0354503319554052,0.081157193460767
"45","1","3","female",0,0,"Q",0,"Miss",1,0.235876237003633,0.0153791741716068
"46","0","3","male",0,0,"S",0,"Mr",1,0.372180103561368,0.0157125535690724
"47","0","3","male",1,0,"Q",0,"Mr",2,0.372180103561368,0.0302539851329965
"48","1","3","female",0,0,"Q",0,"Miss",1,0.372180103561368,0.0151269925664983
"49","0","3","male",2,0,"C",0,"Mr",3,0.372180103561368,0.0423149802900167
"50","0","3","female",1,0,"S",0,"Mrs",2,0.223349617938118,0.0347432861527315
"51","0","3","male",4,1,"S",1,"Master",6,0.0855568082174621,0.0774648409655354
"52","0","3","male",0,0,"S",0,"Mr",1,0.260929475134661,0.0152245860669273
"53","1","1","female",1,0,"C",0,"Mrs",2,0.611674808969059,0.149765424262369
"54","1","2","female",1,0,"S",0,"Mrs",2,0.361142427658775,0.0507486202230909
"55","0","1","male",0,1,"C",0,"Mr",2,0.812100714017287,0.120975341635808
"56","1","1","male",0,0,"S",0,"Mr",1,0.372180103561368,0.0692913853046049
"57","1","2","female",0,0,"S",0,"Miss",1,0.260929475134661,0.0204946350900944
"58","0","3","male",0,0,"C",0,"Mr",1,0.354879118126018,0.0141104586660296
"59","1","2","female",1,2,"S",1,"Miss",4,0.0605035700864337,0.0541643927381067
"60","0","3","male",5,2,"S",1,"Master",8,0.135663284479519,0.0915427034024217
"61","0","3","male",0,0,"C",0,"Mr",1,0.273456094200175,0.0141104586660296
"62","1","1","female",0,0,"S",0,"Miss",1,0.473881999248403,0.156149600686434
"63","0","1","male",1,0,"S",0,"Mr",2,0.561568332707002,0.162932348966251
"64","0","3","male",3,2,"S",1,"Master",6,0.0479769510209195,0.0544571732393937
"65","0","1","male",0,0,"C",0,"Mr",1,0.372180103561368,0.0541073981338561
"66","1","3","male",1,1,"C",0,"Master",3,0.372180103561368,0.0297578197768154
"67","1","2","female",0,0,"S",0,"Mrs",1,0.361142427658775,0.0204946350900944
"68","0","3","male",0,0,"S",0,"Mr",1,0.235876237003633,0.0159239410910016
"69","1","3","female",4,2,"S",1,"Miss",7,0.210822998872604,0.0154685698179998
"70","0","3","male",2,0,"S",0,"Mr",3,0.323562570462232,0.0169080739493279
"71","0","2","male",0,0,"S",0,"Mr",1,0.398722284855318,0.0204946350900944
"72","0","3","female",5,2,"S",1,"Miss",8,0.19829637980709,0.0915427034024217
"73","0","2","male",0,0,"S",0,"Mr",1,0.260929475134661,0.143462445630661
"74","0","3","male",1,0,"C",0,"Mr",2,0.323562570462232,0.0282127194780231
"75","1","3","male",0,0,"S",0,"Mr",1,0.398722284855318,0.110272457630758
"76","0","3","male",0,0,"S",0,"Mr",1,0.311035951396718,0.0149318055656402
"77","0","3","male",0,0,"S",0,"Mr",1,0.372180103561368,0.0154115752137493
"78","0","3","male",0,0,"S",0,"Mr",1,0.372180103561368,0.0157125535690724
"79","1","2","male",0,2,"S",1,"Master",3,0.00826756858323938,0.0566042302488322
"80","1","3","female",0,0,"S",0,"Miss",1,0.373669046724289,0.0243495783570407
"81","0","3","male",0,0,"S",0,"Mr",1,0.273456094200175,0.0175668300772238
"82","1","3","male",0,0,"S",0,"Mr",1,0.361142427658775,0.018542765081514
"83","1","3","female",0,0,"Q",0,"Miss",1,0.372180103561368,0.01520018769182
"84","0","1","male",0,0,"S",0,"Mr",1,0.348615808593261,0.0919330774041378
"85","1","2","female",0,0,"S",1,"Miss",1,0.210822998872604,0.0204946350900944
"86","1","3","female",3,0,"S",0,"Mrs",4,0.411248903920832,0.0309371396359997
"87","0","3","male",1,3,"S",1,"Mr",5,0.19829637980709,0.067095531544952
"88","0","3","male",0,0,"S",0,"Mr",1,0.372180103561368,0.0157125535690724
"89","1","1","female",3,2,"S",0,"Miss",6,0.28598271326569,0.513341812256651
"90","0","3","male",0,0,"S",0,"Mr",1,0.298509332331204,0.0157125535690724
"91","0","3","male",0,0,"S",0,"Mr",1,0.361142427658775,0.0157125535690724
"92","0","3","male",0,0,"S",0,"Mr",1,0.248402856069147,0.0153303774213923
"93","0","1","male",1,0,"S",0,"Mr",2,0.574094951772517,0.119405647774907
"94","0","3","male",1,2,"S",0,"Mr",4,0.323562570462232,0.0401597254265421
"95","0","3","male",0,0,"S",0,"Mr",1,0.736940999624201,0.014151057562208
"96","0","3","male",0,0,"S",0,"Mr",1,0.372180103561368,0.0157125535690724
"97","0","1","male",0,0,"C",0,"Mr",1,0.887260428410372,0.0676404936513476
"98","1","1","male",0,1,"C",0,"Mr",2,0.28598271326569,0.123667165564641
"99","1","2","female",0,1,"S",0,"Mrs",2,0.423775522986346,0.0448930101973497
"100","0","2","male",1,0,"S",0,"Mr",2,0.423775522986346,0.0507486202230909
"101","0","3","female",0,0,"S",0,"Miss",1,0.348615808593261,0.0154115752137493
"102","0","3","male",0,0,"S",0,"Mr",1,0.372180103561368,0.0154115752137493
"103","0","1","male",0,1,"S",0,"Mr",2,0.260929475134661,0.150855153288159
"104","0","3","male",0,0,"S",0,"Mr",1,0.411248903920832,0.0168918734282567
"105","0","3","male",2,0,"S",0,"Mr",3,0.461355380182889,0.0154685698179998
"106","0","3","male",0,0,"S",0,"Mr",1,0.348615808593261,0.0154115752137493
"107","1","3","female",0,0,"S",0,"Miss",1,0.260929475134661,0.0149318055656402
"108","1","3","male",0,0,"S",0,"Mr",1,0.372180103561368,0.0151757893167128
"109","0","3","male",0,0,"S",0,"Mr",1,0.473881999248403,0.0154115752137493
"110","1","3","female",1,0,"Q",0,"Miss",2,0.372180103561368,0.0471376607072172
"111","0","1","male",0,0,"S",0,"Mr",1,0.586621570838031,0.101497240446182
"112","0","3","female",1,0,"C",1,"Miss",2,0.179506451208819,0.0282127194780231
"113","0","3","male",0,0,"S",0,"Mr",1,0.273456094200175,0.0157125535690724
"114","0","3","female",1,0,"S",0,"Miss",2,0.248402856069147,0.0191771228343026
"115","0","3","female",0,0,"C",1,"Miss",1,0.210822998872604,0.0282207221450583
"116","0","3","male",0,0,"S",0,"Mr",1,0.260929475134661,0.0154685698179998
"117","0","3","male",0,0,"Q",0,"Mr",1,0.880997118877615,0.0151269925664983
"118","0","2","male",1,0,"S",0,"Mr",2,0.361142427658775,0.0409892701801888
"119","0","1","male",0,1,"C",0,"Mr",2,0.298509332331204,0.483128426019833
"120","0","3","female",4,2,"S",1,"Miss",7,0.022923712889891,0.0610447345183526
"121","0","2","male",2,0,"S",0,"Mr",3,0.260929475134661,0.143462445630661
"122","0","3","male",0,0,"S",0,"Mr",1,0.372180103561368,0.0157125535690724
"123","0","2","male",1,0,"C",0,"Mr",2,0.404985594388075,0.0586942926540201
"124","1","2","female",0,0,"S",0,"Miss",1,0.404985594388075,0.0253743101115455
"125","0","1","male",0,1,"S",0,"Mr",2,0.67430790429663,0.150855153288159
"126","1","3","male",1,0,"C",1,"Master",2,0.148189903545033,0.0219423370754585
"127","0","3","male",0,0,"Q",0,"Mr",1,0.372180103561368,0.0151269925664983
"128","1","3","male",0,0,"S",0,"Mr",1,0.298509332331204,0.0139396700402788
"129","1","3","female",1,1,"C",0,"Miss",3,0.372180103561368,0.0436404952128436
"130","0","3","male",0,0,"S",0,"Mr",1,0.561568332707002,0.0136142933098484
"131","0","3","male",0,0,"C",0,"Mr",1,0.411248903920832,0.0154115752137493
"132","0","3","male",0,0,"S",0,"Mr",1,0.248402856069147,0.013760683560492
"133","0","3","female",1,0,"S",0,"Mrs",2,0.586621570838031,0.0283021151244161
"134","1","2","female",1,0,"S",0,"Mrs",2,0.361142427658775,0.0507486202230909
"135","0","2","male",0,0,"S",0,"Mr",1,0.311035951396718,0.0253743101115455
"136","0","2","male",0,0,"C",0,"Mr",1,0.28598271326569,0.0293674457750993
"137","1","1","female",0,2,"S",0,"Miss",3,0.235876237003633,0.0513015849965218
"138","0","1","male",1,0,"S",0,"Mr",2,0.461355380182889,0.10364429745562
"139","0","3","male",0,0,"S",1,"Mr",1,0.19829637980709,0.0179898003080832
"140","0","1","male",0,0,"C",0,"Mr",1,0.298509332331204,0.154588104679569
"141","0","3","female",0,2,"C",0,"Mrs",3,0.372180103561368,0.0297578197768154
"142","1","3","female",0,0,"S",0,"Miss",1,0.273456094200175,0.0151269925664983
"143","1","3","female",1,0,"S",0,"Mrs",2,0.298509332331204,0.0309371396359997
"144","0","3","male",0,0,"Q",0,"Mr",1,0.235876237003633,0.0131751225579178
"145","0","2","male",0,0,"S",0,"Mr",1,0.223349617938118,0.0224465050986748
"146","0","2","male",1,1,"S",0,"Mr",3,0.235876237003633,0.0717312228153305
"147","1","3","male",0,0,"S",0,"Mr",1,0.336089189527746,0.0152163882128912
"148","0","3","female",2,2,"S",1,"Miss",5,0.110610046348491,0.067095531544952
"149","0","2","male",0,2,"S",0,"Mr",3,0.455092070650132,0.0507486202230909
"150","0","2","male",0,0,"S",0,"Rev",1,0.52398847551046,0.0253743101115455
"151","0","2","male",0,0,"S",0,"Rev",1,0.636728047100088,0.0244471718574698
"152","1","1","female",1,0,"S",0,"Mrs",2,0.273456094200175,0.129994542571456
"153","0","3","male",0,0,"S",0,"Mr",1,0.693097832894902,0.0157125535690724
"154","0","3","male",0,2,"S",0,"Mr",3,0.505198546912188,0.0283021151244161
"155","0","3","male",0,0,"S",0,"Mr",1,0.372180103561368,0.0142730494377443
"156","0","1","male",0,1,"C",0,"Mr",2,0.636728047100088,0.119804219630659
"157","1","3","female",0,0,"Q",1,"Miss",1,0.19829637980709,0.015094396337355
"158","0","3","male",0,0,"S",0,"Mr",1,0.373669046724289,0.0157125535690724
"159","0","3","male",0,0,"S",0,"Mr",1,0.372180103561368,0.0169080739493279
"160","0","3","male",8,2,"S",0,"Master",11,0.372180103561368,0.135752559096768
"161","0","3","male",0,1,"S",0,"Mr",2,0.549041713641488,0.0314251071381448
"162","1","2","female",0,0,"S",0,"Mrs",1,0.498935237379431,0.0307419526351416
"163","0","3","male",0,0,"S",0,"Mr",1,0.323562570462232,0.0151757893167128
"164","0","3","male",0,0,"S",1,"Mr",1,0.210822998872604,0.0169080739493279
"165","0","3","male",4,1,"S",1,"Master",6,0.0103970938243768,0.0774648409655354
"166","1","3","male",0,2,"S",1,"Master",3,0.110610046348491,0.0400621319261131
"167","1","1","female",0,1,"S",0,"Mrs",2,0.372180103561368,0.107352850471923
"168","0","3","female",1,4,"S",0,"Mrs",6,0.561568332707002,0.0544571732393937
"169","0","1","male",0,0,"S",0,"Mr",1,0.372180103561368,0.0506022299724474
"170","0","3","male",0,0,"S",0,"Mr",1,0.348615808593261,0.110272457630758
"171","0","1","male",0,0,"S",0,"Mr",1,0.76199423775523,0.0653876452874441
"172","0","3","male",4,1,"Q",1,"Master",6,0.0479769510209195,0.0568482139999047
"173","1","3","female",1,1,"S",1,"Miss",3,0.0103970938243768,0.0217307543665284
"174","0","3","male",0,0,"S",0,"Mr",1,0.260929475134661,0.0154685698179998
"175","0","1","male",0,0,"C",0,"Mr",1,0.699361142427659,0.0599142114093829
"176","0","3","male",1,1,"S",0,"Mr",3,0.223349617938118,0.0153303774213923
"177","0","3","male",3,1,"S",0,"Master",5,0.372180103561368,0.049707687947515
"178","0","1","female",0,0,"C",0,"Miss",1,0.624201428034573,0.0560430676213653
"179","0","2","male",0,0,"S",0,"Mr",1,0.373669046724289,0.0253743101115455
"180","0","3","male",0,0,"S",0,"Mr",1,0.448828761117374,0
"181","0","3","female",8,2,"S",0,"Miss",11,0.372180103561368,0.135752559096768
"182","0","2","male",0,0,"C",0,"Mr",1,0.372180103561368,0.0293756436291353
"183","0","3","male",4,2,"S",1,"Master",7,0.110610046348491,0.0612643198943179
"184","1","2","male",2,1,"S",1,"Master",4,0.0103970938243768,0.0761229303346364
"185","1","3","female",0,2,"S",1,"Miss",3,0.0479769510209195,0.0429899369389838
"186","0","1","male",0,0,"S",0,"Mr",1,0.372180103561368,0.097593500429021
"187","1","3","female",1,0,"Q",0,"Mrs",2,0.372180103561368,0.0302539851329965
"188","1","1","male",0,0,"S",0,"Mr",1,0.561568332707002,0.0518221487278102
"189","0","3","male",1,1,"Q",0,"Mr",3,0.498935237379431,0.0302539851329965
"190","0","3","male",0,0,"S",0,"Mr",1,0.448828761117374,0.0154115752137493
"191","1","2","female",0,0,"S",0,"Mrs",1,0.398722284855318,0.0253743101115455
"192","0","2","male",0,0,"S",0,"Mr",1,0.235876237003633,0.0253743101115455
"193","1","3","female",1,0,"S",0,"Miss",2,0.235876237003633,0.0153303774213923
"194","1","2","male",1,1,"S",1,"Master",3,0.0354503319554052,0.0507486202230909
"195","1","1","female",0,0,"C",0,"Mrs",1,0.549041713641488,0.0541073981338561
"196","1","1","female",0,0,"C",0,"Miss",1,0.724414380558687,0.28598955515321
"197","0","3","male",0,0,"Q",0,"Mr",1,0.372180103561368,0.0151269925664983
"198","0","3","male",0,1,"S",0,"Mr",2,0.52398847551046,0.0164039059261116
"199","1","3","female",0,0,"Q",0,"Miss",1,0.372180103561368,0.0151269925664983
"200","0","2","female",0,0,"S",0,"Miss",1,0.298509332331204,0.0253743101115455
"201","0","3","male",0,0,"S",0,"Mr",1,0.348615808593261,0.018542765081514
"202","0","3","male",8,2,"S",0,"Mr",11,0.372180103561368,0.135752559096768
"203","0","3","male",0,0,"S",0,"Mr",1,0.423775522986346,0.0126789572017367
"204","0","3","male",0,0,"C",0,"Mr",1,0.567831642239759,0.0141022608119935
"205","1","3","male",0,0,"S",0,"Mr",1,0.223349617938118,0.0157125535690724
"206","0","3","female",0,1,"S",1,"Miss",2,0.022923712889891,0.0204214399647727
"207","0","3","male",1,0,"S",0,"Mr",2,0.398722284855318,0.0309371396359997
"208","1","3","male",0,0,"C",0,"Mr",1,0.323562570462232,0.0366707577862047
"209","1","3","female",0,0,"Q",1,"Miss",1,0.19829637980709,0.0151269925664983
"210","1","1","male",0,0,"C",0,"Mr",1,0.498935237379431,0.060507970265993
"211","0","3","male",0,0,"S",0,"Mr",1,0.298509332331204,0.013760683560492
"212","1","2","female",0,0,"S",0,"Miss",1,0.43630214205186,0.0409892701801888
"213","0","3","male",0,0,"S",0,"Mr",1,0.273456094200175,0.014151057562208
"214","0","2","male",0,0,"S",0,"Mr",1,0.373669046724289,0.0253743101115455
"215","0","3","male",1,0,"Q",0,"Mr",2,0.372180103561368,0.0151269925664983
"216","1","1","female",1,0,"C",0,"Miss",2,0.386195665789803,0.221098075221947
"217","1","3","female",0,0,"S",0,"Miss",1,0.336089189527746,0.0154685698179998
"218","0","2","male",1,0,"S",0,"Mr",2,0.52398847551046,0.0527004902316714
"219","1","1","female",0,0,"C",0,"Miss",1,0.398722284855318,0.148911481133615
"220","0","2","male",0,0,"S",0,"Mr",1,0.373669046724289,0.0204946350900944
"221","1","3","male",0,0,"S",1,"Mr",1,0.19829637980709,0.0157125535690724
"222","0","2","male",0,0,"S",0,"Mr",1,0.336089189527746,0.0253743101115455
"223","0","3","male",0,0,"S",0,"Mr",1,0.636728047100088,0.0157125535690724
"224","0","3","male",0,0,"S",0,"Mr",1,0.372180103561368,0.0154115752137493
"225","1","1","male",1,0,"S",0,"Mr",2,0.473881999248403,0.175668300772238
"226","0","3","male",0,0,"S",0,"Mr",1,0.273456094200175,0.0182499845802269
"227","1","2","male",0,0,"S",0,"Mr",1,0.235876237003633,0.0204946350900944
"228","0","3","male",0,0,"S",0,"Mr",1,0.254666165601904,0.014151057562208
"229","0","2","male",0,0,"S",0,"Mr",1,0.223349617938118,0.0253743101115455
"230","0","3","female",3,1,"S",0,"Miss",5,0.372180103561368,0.049707687947515
"231","1","1","female",1,0,"S",0,"Mrs",2,0.43630214205186,0.162932348966251
"232","0","3","male",0,0,"S",0,"Mr",1,0.361142427658775,0.0151757893167128
"233","0","2","male",0,0,"S",0,"Mr",1,0.736940999624201,0.0263502451158357
"234","1","3","female",4,2,"S",1,"Miss",7,0.0605035700864337,0.0612643198943179
"235","0","2","male",0,0,"S",0,"Mr",1,0.298509332331204,0.0204946350900944
"236","0","3","female",0,0,"S",0,"Miss",1,0.372180103561368,0.0147366185647822
"237","0","2","male",1,0,"S",0,"Mr",2,0.549041713641488,0.0507486202230909
"238","1","2","female",0,2,"S",1,"Miss",3,0.0980834272829763,0.051236587725236
"239","0","2","male",0,0,"S",0,"Mr",1,0.235876237003633,0.0204946350900944
"240","0","2","male",0,0,"S",0,"Mr",1,0.411248903920832,0.0239592043553247
"241","0","3","female",1,0,"C",0,"Miss",2,0.372180103561368,0.0282127194780231
"242","1","3","female",1,0,"Q",0,"Miss",2,0.372180103561368,0.0302539851329965
"243","0","2","male",0,0,"S",0,"Mr",1,0.361142427658775,0.0204946350900944
"244","0","3","male",0,0,"S",0,"Mr",1,0.273456094200175,0.0139070738111355
"245","0","3","male",0,0,"C",0,"Mr",1,0.373669046724289,0.0141022608119935
"246","0","1","male",2,0,"Q",0,"Dr",3,0.549041713641488,0.175668300772238
"247","0","3","female",0,0,"S",0,"Miss",1,0.311035951396718,0.0151757893167128
"248","1","2","female",0,2,"S",0,"Mrs",3,0.298509332331204,0.0283021151244161
"249","1","1","male",1,1,"S",0,"Mr",3,0.461355380182889,0.102578966804937
"250","0","2","male",1,0,"S",0,"Rev",2,0.67430790429663,0.0507486202230909
"251","0","3","male",0,0,"S",0,"Mr",1,0.372180103561368,0.014151057562208
"252","0","3","female",1,1,"S",0,"Mrs",3,0.361142427658775,0.0204214399647727
"253","0","1","male",0,0,"S",0,"Mr",1,0.774520856820744,0.0518221487278102
"254","0","3","male",1,0,"S",0,"Mr",2,0.373669046724289,0.0314251071381448
"255","0","3","female",0,2,"S",0,"Mrs",3,0.511461856444945,0.0394521725484317
"256","1","3","female",0,2,"C",0,"Mrs",3,0.361142427658775,0.0297578197768154
"257","1","1","female",0,0,"C",0,"Mrs",1,0.372180103561368,0.154588104679569
"258","1","1","female",0,0,"S",0,"Miss",1,0.373669046724289,0.168836755742206
"259","1","1","female",0,0,"C",0,"Miss",1,0.43630214205186,1
"260","1","2","female",0,1,"S",0,"Mrs",2,0.624201428034573,0.0507486202230909
"261","0","3","male",0,0,"Q",0,"Mr",1,0.372180103561368,0.0151269925664983
"262","1","3","male",4,2,"S",1,"Master",7,0.0354503319554052,0.0612643198943179
"263","0","1","male",1,1,"S",0,"Mr",3,0.649254666165602,0.155466446183431
"264","0","1","male",0,0,"S",0,"Mr",1,0.498935237379431,0
"265","0","3","female",0,0,"Q",0,"Miss",1,0.372180103561368,0.0151269925664983
"266","0","2","male",0,0,"S",0,"Mr",1,0.448828761117374,0.0204946350900944
"267","0","3","male",4,1,"S",1,"Mr",6,0.19829637980709,0.0774648409655354
"268","1","3","male",1,0,"S",0,"Mr",2,0.311035951396718,0.0151757893167128
"269","1","1","female",0,1,"S",0,"Mrs",2,0.724414380558687,0.299538851191773
"270","1","1","female",0,0,"S",0,"Miss",1,0.43630214205186,0.264738570434791
"271","0","1","male",0,0,"S",0,"Mr",1,0.372180103561368,0.060507970265993
"272","1","3","male",0,0,"S",0,"Mr",1,0.311035951396718,0
"273","1","2","female",0,1,"S",0,"Mrs",2,0.511461856444945,0.0380614651673182
"274","0","1","male",0,1,"C",0,"Mr",2,0.461355380182889,0.0579705392548385
"275","1","3","female",0,0,"Q",0,"Miss",1,0.372180103561368,0.0151269925664983
"276","1","1","female",1,0,"S",0,"Miss",2,0.787047475886258,0.152164467689915
"277","0","3","female",0,0,"S",0,"Miss",1,0.561568332707002,0.0151269925664983
"278","0","2","male",0,0,"S",0,"Mr",1,0.372180103561368,0
"279","0","3","male",4,1,"Q",1,"Master",6,0.0855568082174621,0.0568482139999047
"280","1","3","female",1,1,"S",0,"Mrs",3,0.43630214205186,0.0395253676737535
"281","0","3","male",0,0,"Q",0,"Mr",1,0.812100714017287,0.0151269925664983
"282","0","3","male",0,0,"S",0,"Mr",1,0.348615808593261,0.0153303774213923
"283","0","3","male",0,0,"S",1,"Mr",1,0.19829637980709,0.018542765081514
"284","1","3","male",0,0,"S",0,"Mr",1,0.235876237003633,0.0157125535690724
"285","0","1","male",0,0,"S",0,"Mr",1,0.372180103561368,0.0507486202230909
"286","0","3","male",0,0,"C",0,"Mr",1,0.411248903920832,0.0169080739493279
"287","1","3","male",0,0,"S",0,"Mr",1,0.373669046724289,0.018542765081514
"288","0","3","male",0,0,"S",0,"Mr",1,0.273456094200175,0.0154115752137493
"289","1","2","male",0,0,"S",0,"Mr",1,0.52398847551046,0.0253743101115455
"290","1","3","female",0,0,"Q",0,"Miss",1,0.273456094200175,0.0151269925664983
"291","1","1","female",0,0,"S",0,"Miss",1,0.323562570462232,0.153904950176566
"292","1","1","female",1,0,"C",0,"Mrs",2,0.235876237003633,0.177774758885498
"293","0","2","male",0,0,"C",0,"Mr",1,0.448828761117374,0.0251303263604729
"294","0","3","female",0,0,"S",0,"Miss",1,0.298509332331204,0.0172740495759367
"295","0","3","male",0,0,"S",0,"Mr",1,0.298509332331204,0.0154115752137493
"296","0","1","male",0,0,"C",0,"Mr",1,0.372180103561368,0.0541073981338561
"297","0","3","male",0,0,"C",0,"Mr",1,0.292246022798447,0.0141104586660296
"298","0","1","female",1,2,"S",1,"Miss",4,0.022923712889891,0.295805899800363
"299","1","1","male",0,0,"S",0,"Mr",1,0.372180103561368,0.0595320352617028
"300","1","1","female",0,1,"C",0,"Mrs",2,0.624201428034573,0.483128426019833
"301","1","3","female",0,0,"Q",0,"Miss",1,0.372180103561368,0.0151269925664983
"302","1","3","male",2,0,"Q",0,"Mr",3,0.372180103561368,0.0453809776994948
"303","0","3","male",0,0,"S",0,"Mr",1,0.235876237003633,0
"304","1","2","female",0,0,"Q",0,"Miss",1,0.372180103561368,0.0241055946059682
"305","0","3","male",0,0,"S",0,"Mr",1,0.372180103561368,0.0157125535690724
"306","1","1","male",1,2,"S",1,"Master",4,0.00939496429913566,0.295805899800363
"307","1","1","female",0,0,"C",0,"Miss",1,0.372180103561368,0.216429787722425
"308","1","1","female",1,0,"C",1,"Mrs",2,0.210822998872604,0.212558643934408
"309","0","2","male",1,0,"C",0,"Mr",2,0.373669046724289,0.0468448802059301
"310","1","1","female",0,0,"C",0,"Miss",1,0.373669046724289,0.111118398092476
"311","1","1","female",0,0,"C",0,"Miss",1,0.298509332331204,0.162314191734533
"312","1","1","female",2,2,"C",0,"Miss",5,0.223349617938118,0.512121893501288
"313","0","2","female",1,1,"S",0,"Mrs",3,0.323562570462232,0.0507486202230909
"314","0","3","male",0,0,"S",0,"Mr",1,0.348615808593261,0.0154115752137493
"315","0","2","male",1,1,"S",0,"Mr",3,0.536515094575974,0.051236587725236
"316","1","3","female",0,0,"S",0,"Miss",1,0.323562570462232,0.0153303774213923
"317","1","2","female",1,0,"S",0,"Mrs",2,0.298509332331204,0.0507486202230909
"318","0","2","male",0,0,"S",0,"Dr",1,0.67430790429663,0.0273261801201259
"319","1","1","female",0,2,"S",0,"Miss",3,0.386195665789803,0.321798367143626
"320","1","1","female",1,1,"C",0,"Mrs",3,0.498935237379431,0.262526516154067
"321","0","3","male",0,0,"S",0,"Mr",1,0.273456094200175,0.014151057562208
"322","0","3","male",0,0,"S",0,"Mr",1,0.336089189527746,0.0154115752137493
"323","1","2","female",0,0,"Q",0,"Miss",1,0.373669046724289,0.0241055946059682
"324","1","2","female",1,1,"S",0,"Mrs",3,0.273456094200175,0.0566042302488322
"325","0","3","male",8,2,"S",0,"Mr",11,0.372180103561368,0.135752559096768
"326","1","1","female",0,0,"C",0,"Miss",1,0.448828761117374,0.264738570434791
"327","0","3","male",0,0,"S",0,"Mr",1,0.76199423775523,0.0121747891785204
"328","1","2","female",0,0,"S",0,"Mrs",1,0.448828761117374,0.0253743101115455
"329","1","3","female",1,1,"S",0,"Mrs",3,0.386195665789803,0.0400621319261131
"330","1","1","female",0,1,"C",1,"Miss",2,0.19829637980709,0.113167861601486
"331","1","3","female",2,0,"Q",0,"Miss",3,0.372180103561368,0.0453809776994948
"332","0","1","male",0,0,"S",0,"Mr",1,0.567831642239759,0.055628295244542
